"filename", "language", "YAML", "JSON", "HTML", "C++", "CMake", "Markdown", "Dart", "Firebase Rules", "Properties", "XML", "Swift", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"e:\web_project2\ceyiz_diz\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"e:\web_project2\ceyiz_diz\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"e:\web_project2\ceyiz_diz\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\web_project2\ceyiz_diz\l10n.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\lib\core\constants\app_colors.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 12, 12, 66
"e:\web_project2\ceyiz_diz\lib\core\constants\app_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 7, 24
"e:\web_project2\ceyiz_diz\lib\core\constants\app_strings.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 6, 29
"e:\web_project2\ceyiz_diz\lib\core\errors\exceptions.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 7, 24
"e:\web_project2\ceyiz_diz\lib\core\localization\locale_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\lib\core\themes\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"e:\web_project2\ceyiz_diz\lib\core\themes\design_system.dart", "Dart", 0, 0, 0, 0, 0, 0, 767, 0, 0, 0, 0, 56, 52, 875
"e:\web_project2\ceyiz_diz\lib\core\themes\theme_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 3, 9, 60
"e:\web_project2\ceyiz_diz\lib\core\utils\formatters.dart", "Dart", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"e:\web_project2\ceyiz_diz\lib\core\utils\validators.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"e:\web_project2\ceyiz_diz\lib\data\models\category_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 5, 8, 121
"e:\web_project2\ceyiz_diz\lib\data\models\product_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 6, 131
"e:\web_project2\ceyiz_diz\lib\data\models\trousseau_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 7, 121
"e:\web_project2\ceyiz_diz\lib\data\models\user_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 1, 6, 68
"e:\web_project2\ceyiz_diz\lib\data\repositories\auth_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 11, 53
"e:\web_project2\ceyiz_diz\lib\data\repositories\category_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 7, 52
"e:\web_project2\ceyiz_diz\lib\data\repositories\product_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 11, 56
